text,labels,parsed_predictions,labels_text
Your just killing time now.,[27],['neutral'],['anger']
I wish my mom was catgirl savvy.,[27],['neutral'],['desire']
I've used tofu and nutritional yeast before. It works well for ricotta! Recipe here!,[27],['neutral'],['approval']
Fucking and being a boy,[27],['neutral'],['anger']
Got any examples?,[27],['neutral'],['curiosity']
Agreed. Sometimes you just have to move forward and let those determined to be left behind have their wish.,[27],['neutral'],['approval']
>And I could be wrong about my [RELIGION] faith but again that’s the point of faith. The point of faith is to be wrong?,[27],['neutral'],['confusion']
Greetings fellow human,[27],['neutral'],"['admiration', 'gratitude']"
"If there’s a pattern, yes.",[27],['neutral'],['approval']
"I'm not telling them, I was just saying that the person who knew them irl said they were a she. That is all",[27],['neutral'],['annoyance']
I watched the whole thing. I miss that style of cartoon. Simultaneously silly and understated.,[27],['neutral'],['disappointment']
Don't worry about it.,[27],['neutral'],['caring']
